Date,Financials,Resources,Industrials,Consumer Goods
2020-10-19,25308.279296875,39087.3984375,26178.08984375,57359.53125
2020-10-20,25213.169921875,38874.83984375,26129.390625,58726.48046875
2020-10-21,25610.900390625,39339.69140625,26134.259765625,57335.859375
2020-10-22,26125.720703125,38157.55078125,26632.69921875,56586.30078125
2020-10-23,27127.69921875,37958.03125,27903.2109375,57249.25
2020-10-26,26782.740234375,37641.73046875,27592.759765625,56394.08984375
2020-10-27,26393.94921875,36441.3203125,27269.380859375,55043.76171875
2020-10-28,25263.6796875,34807.44140625,25934.880859375,53612.2890625
2020-10-29,24658.76953125,34590.609375,25181.599609375,53447.44921875
2020-10-30,23978.66015625,34211.1484375,24940.7109375,52109.4296875
2020-11-02,24276.439453125,35300.328125,24698.51953125,52461.80078125
2020-11-03,25111.23046875,36230.6796875,25447.490234375,53462.53125
2020-11-04,25236.58984375,35832.578125,25991.080078125,54768.578125
2020-11-05,25567.189453125,36716.51171875,26375.390625,55419.609375
2020-11-06,25629.490234375,37386.3515625,26439.580078125,59578.328125
2020-11-09,27478.01953125,37121.80859375,27838.599609375,62427.2890625
2020-11-10,28432.529296875,38082.640625,28822.189453125,63500.12109375
2020-11-11,29797.259765625,37737.3203125,30112.0390625,64247.28125
2020-11-12,29072.630859375,36794.66015625,29086.609375,62782.8984375
2020-11-13,28637.5,37170.44140625,28426.349609375,63215.4609375
2020-11-16,28768.619140625,37773.171875,28536.630859375,63075.83984375
2020-11-17,29037.359375,37285.578125,29498.330078125,64034.23828125
2020-11-18,29148.880859375,37393.0703125,30029.66015625,63819.4609375
2020-11-19,28795.25,37086.3203125,30006.30078125,63560.87890625
2020-11-20,28195.2890625,37088.23046875,29965.76953125,62653.6796875
2020-11-23,28337.26953125,37289.76171875,29547.5703125,63407.62890625
2020-11-24,29145.140625,37753.890625,30004.01953125,64145.73828125
2020-11-25,29183.169921875,37845.171875,30400.630859375,63842.359375
2020-11-26,29191.26953125,38056.69140625,30900.98046875,63081.46875
2020-11-27,29014.0390625,38075.828125,30936.689453125,63524.08984375
2020-11-30,28063.859375,37945.2109375,30022.990234375,63523.51953125
2020-12-01,28204.970703125,38579.87890625,31412.01953125,62358.94921875
2020-12-02,28412.30078125,39928.87890625,31424.609375,62826.171875
2020-12-03,28628.810546875,40697.91015625,30884.48046875,62510.73828125
2020-12-04,29347.439453125,41023.3515625,31119.640625,62457.80078125
2020-12-07,29218.279296875,41347.69140625,30977.439453125,62952.87109375
2020-12-08,29349.060546875,40992.05078125,31500.640625,62706.26171875
2020-12-09,29734.080078125,40781.3203125,31703.259765625,63231.48046875
2020-12-10,29157.33984375,41203.2890625,31199.359375,64194.58984375
2020-12-11,29670.150390625,40800.1796875,31605.880859375,64248.26953125
2020-12-14,30048.73046875,40828.44921875,31817.5390625,64879.01171875
2020-12-15,30418.0703125,40840.71875,31831.869140625,64615.171875
2020-12-17,30636.41015625,42082.48046875,31673.0390625,65654.03125
2020-12-18,31171.529296875,41387.53125,31519.91015625,64424.7109375
2020-12-21,29726.259765625,40741.62890625,30055.69921875,62945.44921875
2020-12-22,29931.439453125,40451.26171875,30156.970703125,63100.76171875
2020-12-23,30334.7109375,40689.0703125,30381.80078125,63425.78125
2020-12-24,30414.55078125,41182.03125,30747.7109375,64558.26171875
2020-12-28,30375.529296875,41611.640625,30806.740234375,64724.078125
2020-12-29,30397.5703125,41447.87109375,30804.58984375,65515.33984375
2020-12-30,30517.8203125,41635.69921875,30915.7109375,65212.62109375
2020-12-31,30301.869140625,41510.05078125,30620.369140625,64149.23046875
2021-01-04,29827.76953125,43716.87109375,31036.01953125,65506.421875
2021-01-05,29291.150390625,44133.78125,30806.619140625,66858.25
2021-01-06,29385.720703125,45843.53125,31913.029296875,66612.5
2021-01-07,30104.189453125,47237.62109375,33095.609375,69413.7265625
2021-01-08,30792.33984375,46966.578125,33269.05078125,69377.6796875
2021-01-11,30296.099609375,46858.0390625,33000.21875,69923.9296875
2021-01-12,30421.76953125,46415.0,32938.26171875,70365.1171875
2021-01-13,30219.029296875,46681.21875,33013.6796875,68705.8203125
2021-01-14,30070.91015625,46729.828125,32893.80859375,68725.296875
2021-01-15,30004.4296875,46046.75,32582.830078125,68307.296875
2021-01-18,29966.240234375,45653.69921875,32754.400390625,69836.640625
2021-01-19,30221.7890625,44979.33984375,32730.0,68270.6796875
2021-01-20,30247.0390625,45583.71875,32765.279296875,68790.8828125
2021-01-21,30048.779296875,45948.3515625,32852.41015625,68329.15625
2021-01-22,29443.720703125,45321.62109375,32714.119140625,69417.203125
2021-01-25,29175.419921875,44956.91015625,32521.150390625,68571.1796875
2021-01-26,29635.08984375,44728.25,32971.37890625,68387.1015625
2021-01-27,29784.69921875,43022.6484375,32192.7109375,67917.1484375
2021-01-28,29857.529296875,43991.21875,32239.990234375,68507.0078125
2021-01-29,29492.390625,43576.12109375,31859.23046875,67073.3125
2021-02-01,29273.1796875,44286.109375,31862.130859375,66569.3125
2021-02-02,29749.880859375,43047.890625,32303.220703125,67590.2734375
2021-02-03,29840.609375,43302.828125,32472.05078125,67466.84375
2021-02-04,30654.529296875,43627.21875,32734.2890625,68079.5078125
2021-02-05,31593.0390625,43854.44140625,32992.109375,68003.8828125
2021-02-08,31164.9609375,45308.30859375,33585.30078125,68729.6796875
2021-02-09,31390.4296875,44878.3515625,33456.578125,69286.359375
2021-02-10,31382.669921875,46443.921875,33631.33984375,69033.6796875
2021-02-11,31475.08984375,45687.76953125,33429.2890625,69085.2578125
2021-02-12,32072.900390625,45467.6796875,33913.98828125,68907.8125
2021-02-15,32028.359375,47223.6796875,34195.828125,69010.9609375
2021-02-16,31955.630859375,47729.3984375,34344.51171875,69604.6875
2021-02-17,31365.759765625,47685.4296875,34004.98828125,68595.546875
2021-02-18,31118.55078125,47361.1484375,33312.6484375,67791.4375
2021-02-19,31152.19921875,48331.1484375,33865.26953125,68661.0234375
2021-02-22,31281.66015625,48724.48828125,33844.9296875,68814.0
2021-02-23,30967.580078125,47704.890625,33294.12109375,67694.328125
2021-02-24,31239.01953125,48133.7890625,33585.51171875,68349.4296875
2021-02-25,31180.58984375,50613.921875,33903.76953125,68768.4375
2021-02-26,30904.26953125,48602.73828125,33135.03125,68638.1796875
2021-03-01,31489.869140625,49645.48046875,33583.359375,68783.7734375
2021-03-02,31758.470703125,50678.87109375,34100.16015625,69230.6875
2021-03-03,31820.400390625,49824.171875,34598.66015625,69267.5
2021-03-04,32040.419921875,49711.21875,34382.671875,68280.8203125
2021-03-05,32197.880859375,50900.5703125,34555.80859375,68335.6875
2021-03-08,32169.650390625,51535.328125,34715.6484375,69721.1015625
2021-03-09,32443.890625,50956.8984375,35175.12109375,70174.421875
2021-03-10,32834.48828125,50518.48046875,34975.51953125,69703.25
2021-03-11,32635.310546875,50594.5390625,34971.98046875,68994.0390625
2021-03-12,32687.0703125,50390.16015625,34925.8984375,69977.3515625
2021-03-15,32350.779296875,49666.37890625,34803.30078125,69448.0625
2021-03-16,31904.25,49484.578125,34418.62890625,68449.421875
2021-03-17,31434.2890625,48401.0390625,34343.609375,68988.6875
2021-03-18,31236.580078125,48934.0703125,34595.25,69674.1875
2021-03-19,30828.919921875,47703.921875,34042.69921875,68086.0
2021-03-23,30362.17,46405.98046875,33788.96875,68141.1875
2021-03-24,30366.93,46774.8515625,33851.9609375,67131.1796875
2021-03-25,30194.73,46352.109375,33813.75,67337.2265625
2021-03-26,30955.85,48627.30078125,34914.25,68744.8515625
2021-03-29,31709.05,48243.71875,35234.62890625,69152.75
2021-03-30,31955.44,48189.8203125,35366.8984375,69084.8828125
2021-03-31,31243.47,48030.30859375,34546.7890625,67739.6796875
2021-04-01,30984.14,48290.69140625,34771.890625,67210.328125
2021-04-06,31221.45,49434.37890625,35241.44140625,68280.4921875
2021-04-07,31074.11,49279.8515625,34921.3515625,67875.7421875
